종목명,시가총액,매수시간,매도시간,보유시간,매수가,매도가,매수금액,매도금액,수익률,수익금,수익금합계,매도조건,추가매수시간,B_현재가,B_등락율,B_당일거래대금,B_거래대금증감,B_체결강도,B_시가총액,B_회전율,B_전일동시간비,B_매수총잔량,B_매도총잔량,B_시분초,B_분봉시가,B_분봉고가,B_분봉저가,S_현재가,S_등락율,S_체결강도,S_매수총잔량,S_매도총잔량,R_매수후최고수익률,R_매수후최저수익률,R_MFE,R_MAE
계룡건설,2126,202504101006,202504101127,81,25000,23800,1000000,949997,-5.0,-50003,-177818,    elif 수익률 <= -5.0:,,24950.0,4.39,79797.0,-244957810025.0,99.82,2228.0,36.28,51.15,23067.0,26485.0,100600,24800.0,25050.0,24800.0,23800.0,-0.42,90.61,32976.0,9490.0,0.0,-5.0,0.0,-5.0
DSC인베스트먼트,1738,202504101013,202504101104,51,6630,6310,1001130,950805,-5.03,-50325,-228143,"elif 보유시간 > 10 and 현재가 < 최저현재가(30, 보유시간):",,6620.0,5.41,27788.0,-72026232525.0,112.25,1820.0,15.7,66.83,46234.0,119173.0,101300,6580.0,6670.0,6560.0,6320.0,0.64,93.48,131107.0,21106.0,0.24,-4.88,0.24,-4.88
실리콘투,17985,202504101014,202504101518,304,29700,29350,980100,966527,-1.38,-13573,-241716,전략종료청산,,29700.0,9.8,29481.0,3954130350.0,128.75,18168.0,1.63,233.32,11768.0,43813.0,101400,29600.0,29750.0,29550.0,29400.0,8.69,131.72,35420.0,29779.0,0.97,-1.89,0.97,-1.89
벡트,733,202504101017,202504101057,40,5060,5350,996820,1051763,5.51,54943,-186773,    elif 최고수익률 > 7 and 최고수익률 * 0.7 >= 수익률:,,5060.0,8.82,73078.0,47593592529.0,89.64,694.0,106.63,262.48,64276.0,50627.0,101700,5040.0,5070.0,5020.0,5350.0,15.05,92.13,116148.0,33315.0,8.08,-1.79,8.08,-1.79
대신정보통신,661,202504101019,202504101050,31,1829,1721,1002292,941121,-6.1,-61171,-247944,    elif 수익률 <= -5.0:,,1824.0,10.01,17809.0,-10722348028.0,89.25,701.0,26.15,93.72,4423.0,20705.0,101900,1813.0,1837.0,1802.0,1721.0,3.8,78.94,26330.0,9836.0,0.12,-6.1,0.12,-6.1
데이원컴퍼니,1299,202504101023,202504101115,52,9290,9480,994030,1012245,1.83,18215,-229729,"        if 5 < 최고수익률 and 현재가N(1) >= 이동평균(60, 1) and 이동평균(60) > 현재가:",,9280.0,5.22,16938.0,-418925055.0,103.91,1263.0,13.46,174.19,31130.0,6432.0,102300,9260.0,9310.0,9240.0,9550.0,8.28,97.53,16093.0,21705.0,5.92,-0.64,5.92,-0.64
나우IB,1196,202504101030,202504101126,56,1333,1260,999750,943019,-5.67,-56731,-286460,    elif 수익률 <= -5.0:,,1333.0,17.55,18505.0,16948713881.0,111.44,1265.0,15.11,2282.84,37905.0,129355.0,103000,1321.0,1349.0,1316.0,1260.0,11.11,92.76,77710.0,22249.0,0.0,-5.67,0.0,-5.67
에어레인,1651,202504101056,202504101108,12,18050,20150,992750,1105956,11.4,113206,-173254,    if 10 <= 수익률:,,18020.0,4.4,22370.0,-66122481285.0,97.19,1473.0,15.55,153.13,13966.0,13433.0,105600,17980.0,18100.0,17960.0,20200.0,17.03,114.38,55587.0,45185.0,11.68,-0.6,11.68,-0.6
벡트,698,202504101059,202504101120,21,5380,5090,995300,939676,-5.59,-55624,-228878,    elif 수익률 <= -5.0:,,5380.0,15.7,96035.0,70550327666.0,91.88,737.0,138.39,338.87,74014.0,40896.0,105900,5360.0,5440.0,5360.0,5090.0,9.46,87.38,80810.0,17609.0,0.0,-5.59,0.0,-5.59
대성창투,1458,202504101100,202504101112,12,2710,2695,999990,992385,-0.76,-7605,-236483,"elif 보유시간 > 10 and 현재가 < 최저현재가(30, 보유시간):",,2710.0,19.38,87237.0,68192107062.0,105.84,1463.0,60.62,644.83,516220.0,130473.0,110000,2710.0,2725.0,2705.0,2700.0,18.94,103.52,530925.0,188840.0,0.16,-0.76,0.16,-0.76
크라우드웍스,1238,202504101104,202504101127,23,14340,13850,989460,953650,-3.62,-35810,-272293,"elif 보유시간 > 10 and 현재가 < 최저현재가(30, 보유시간):",,14330.0,8.97,35886.0,-59395691770.0,86.2,1281.0,28.14,47.7,5732.0,11219.0,110400,14260.0,14330.0,14260.0,13850.0,5.32,83.42,15399.0,3220.0,0.0,-3.62,0.0,-3.62
한텍,4237,202504101110,202504101141,31,34300,38050,994700,1101164,10.7,106464,-165829,    if 10 <= 수익률:,,34300.0,4.26,45118.0,-249436003175.0,91.5,3815.0,12.01,39.62,14905.0,44867.0,111000,34100.0,34300.0,34050.0,38100.0,15.81,121.43,23300.0,20853.0,10.85,-0.79,10.85,-0.79
데이원컴퍼니,1254,202504101116,202504101117,1,9510,9220,998550,966078,-3.25,-32472,-198301,"elif 시가대비등락율 < 0 and 수익률 <= -2.0 and 현재가 < 최저현재가(30, 보유시간):",,9510.0,7.82,41497.0,24140216970.0,97.61,1294.0,32.08,344.44,16129.0,8876.0,111600,9500.0,9570.0,9490.0,9220.0,4.54,94.2,17202.0,7629.0,0.0,-3.25,0.0,-3.25
대성창투,1436,202504101120,202504101131,11,2680,2660,999640,990115,-0.95,-9525,-207826,"elif 보유시간 > 10 and 현재가 < 최저현재가(30, 보유시간):",,2680.0,18.06,92154.0,73109324438.0,101.0,1447.0,64.01,650.64,401158.0,179873.0,112000,2665.0,2685.0,2660.0,2660.0,17.18,99.79,402844.0,171522.0,0.0,-0.95,0.0,-0.95
벡트,692,202504101123,202504101146,23,5140,5030,1002300,978795,-2.35,-23505,-231331,"elif 보유시간 > 10 and 현재가 < 최저현재가(30, 보유시간):",,5120.0,10.11,104064.0,78579137801.0,87.27,702.0,149.61,365.78,49730.0,29917.0,112300,5100.0,5170.0,5100.0,5050.0,8.6,86.15,76403.0,9590.0,1.34,-1.96,1.34,-1.96
나우IB,1181,202504101127,202504101138,11,1264,1244,999824,981953,-1.79,-17871,-249202,"elif 보유시간 > 10 and 현재가 < 최저현재가(30, 보유시간):",,1264.0,11.46,30736.0,29180261151.0,92.84,1200.0,25.01,3115.73,58308.0,39949.0,112700,1261.0,1267.0,1260.0,1244.0,9.7,90.9,33180.0,52436.0,0.0,-1.79,0.0,-1.79
네이처셀,20562,202504101133,202504101518,225,31600,31900,979600,986840,0.74,7240,-241962,전략종료청산,,31600.0,4.46,36888.0,-20432048000.0,126.31,20337.0,1.87,217.37,32671.0,76594.0,113300,31500.0,31600.0,31450.0,31950.0,5.62,113.11,36353.0,98985.0,1.21,-2.1,1.21,-2.1
대진첨단소재,1864,202504101139,202504101258,79,12880,12600,991760,968174,-2.38,-23586,-265548,"elif 보유시간 > 10 and 현재가 < 최저현재가(30, 보유시간):",,12880.0,7.24,24456.0,-7928507110.0,93.34,1906.0,12.94,97.62,6848.0,16549.0,113900,12760.0,12960.0,12760.0,12600.0,4.91,84.1,19418.0,2539.0,0.57,-2.38,0.57,-2.38
나우IB,1178,202504101141,202504101152,11,1250,1239,1000000,989126,-1.09,-10874,-276422,"elif 보유시간 > 10 and 현재가 < 최저현재가(30, 보유시간):",,1250.0,10.23,32082.0,30526143544.0,91.76,1187.0,26.14,3163.07,34290.0,35114.0,114100,1242.0,1250.0,1242.0,1241.0,9.44,91.33,48307.0,9047.0,0.27,-1.49,0.27,-1.49
한텍,4104,202504101142,202504101205,23,38790,36850,969750,919322,-5.2,-50428,-326850,    elif 수익률 <= -5.0:,,38750.0,17.78,125150.0,-169403454350.0,121.77,4309.0,31.7,90.47,19177.0,23248.0,114200,38100.0,38850.0,38050.0,36900.0,12.16,99.16,48897.0,25595.0,0.0,-5.07,0.0,-5.07
대성창투,1412,202504101142,202504101208,26,2680,2610,999640,971498,-2.82,-28142,-354992,"elif 보유시간 > 10 and 현재가 < 최저현재가(30, 보유시간):",,2680.0,18.06,95578.0,76532517333.0,98.77,1447.0,66.38,632.73,202830.0,297879.0,114200,2660.0,2680.0,2655.0,2615.0,15.2,96.73,319155.0,87330.0,0.91,-2.63,0.91,-2.63
모티브링크,1831,202504101144,202504101518,214,14670,14780,997560,1002941,0.54,5381,-349611,전략종료청산,,14670.0,14.61,25414.0,11472631035.0,106.07,1818.0,14.47,322.38,16984.0,13701.0,114400,14590.0,14710.0,14570.0,14780.0,15.47,89.8,14276.0,13554.0,3.67,-2.11,3.67,-2.11
벡트,683,202504101149,202504101346,117,5060,4980,996820,979015,-1.79,-17805,-367416,"elif 보유시간 > 10 and 현재가 < 최저현재가(30, 보유시간):",,5060.0,8.82,107637.0,82152636957.0,85.73,694.0,154.7,377.95,73704.0,13812.0,114900,5050.0,5060.0,5040.0,4980.0,7.1,84.19,40784.0,15804.0,3.34,-1.79,3.34,-1.79
DSC인베스트먼트,1806,202504110959,202504111012,13,6880,6570,997600,950656,-4.71,-46944,-414360,"elif 보유시간 > 10 and 현재가 < 최저현재가(30, 보유시간):",,6880.0,7.84,33912.0,-34064237490.0,89.97,1892.0,18.37,155.5,17837.0,112012.0,95900,6710.0,6880.0,6710.0,6570.0,2.98,86.01,78345.0,12168.0,0.0,-4.71,0.0,-4.71
일승,1384,202504111000,202504111010,10,4600,4505,998200,975546,-2.27,-22654,-437014,"elif 시가대비등락율 < 0 and 수익률 <= -2.0 and 현재가 < 최저현재가(30, 보유시간):",,4600.0,14.14,30219.0,27590247022.0,97.49,1413.0,21.26,3135.06,31264.0,18802.0,100000,4585.0,4600.0,4580.0,4505.0,11.79,93.84,46030.0,15941.0,0.23,-2.27,0.23,-2.27
미트박스,766,202504111001,202504111029,28,14014,13703,994994,970882,-2.42,-24112,-461126,"elif 보유시간 > 10 and 현재가 < 최저현재가(30, 보유시간):",,13980.0,7.95,23850.0,19618832660.0,91.48,781.0,30.9,1282.86,608.0,6111.0,100100,13810.0,14020.0,13800.0,13710.0,5.87,88.28,14116.0,1865.0,0.19,-2.37,0.19,-2.37
이스트소프트,2551,202504111002,202504111014,12,22250,21950,1001250,985683,-1.55,-15567,-476693,"elif 보유시간 > 10 and 현재가 < 최저현재가(30, 보유시간):",,22200.0,10.17,33294.0,25331721225.0,109.27,2580.0,12.79,955.99,30568.0,14295.0,100200,22150.0,22250.0,22150.0,21950.0,8.93,105.32,30663.0,8186.0,1.58,-1.55,1.58,-1.55
원익홀딩스,3147,202504111002,202504111518,316,4175,4075,997825,971892,-2.6,-25933,-502626,전략종료청산,,4175.0,5.16,52321.0,-32852739751.0,107.26,3225.0,16.22,1180.1,110797.0,41130.0,100200,4155.0,4185.0,4140.0,4075.0,2.64,89.19,78263.0,62635.0,1.7,-3.56,1.7,-3.56
한화엔진,19944,202504111003,202504111518,315,23750,23850,997500,999607,0.21,2107,-500519,전략종료청산,,23750.0,4.17,21740.0,8486669825.0,155.98,19819.0,1.1,341.2,44569.0,136834.0,100300,23750.0,23750.0,23700.0,23900.0,4.82,160.44,60298.0,125780.0,1.05,-0.42,1.05,-0.42
HD현대마린엔진,10550,202504111003,202504111518,315,31350,31100,1003200,993119,-1.0,-10081,-510600,전략종료청산,,31250.0,11.01,43412.0,28929077450.0,141.57,10600.0,4.16,794.8,17918.0,62306.0,100300,31150.0,31350.0,31100.0,31100.0,10.48,125.31,23491.0,74809.0,0.59,-1.48,0.59,-1.48
에코바이오,614,202504111003,202504111031,28,4565,4370,999735,955028,-4.47,-44707,-555307,"elif 보유시간 > 10 and 현재가 < 최저현재가(30, 보유시간):",,4550.0,8.2,15246.0,2455443183.0,77.51,638.0,24.1,11121.74,9402.0,18391.0,100300,4530.0,4600.0,4530.0,4380.0,4.16,72.1,17481.0,6342.0,0.0,-4.25,0.0,-4.25
온코닉테라퓨틱스,2541,202504111004,202504111028,24,24000,23350,984000,955347,-2.91,-28653,-583960,"elif 보유시간 > 10 and 현재가 < 최저현재가(30, 보유시간):",,23950.0,13.78,44432.0,30845838400.0,98.64,2606.0,17.26,819.35,21592.0,9582.0,100400,23850.0,24100.0,23850.0,23350.0,10.93,93.61,33107.0,8796.0,0.0,-2.91,0.0,-2.91
시공테크,1333,202504111006,202504111017,11,6720,6640,994560,980672,-1.4,-13888,-597848,"elif 보유시간 > 10 and 현재가 < 최저현재가(30, 보유시간):",,6720.0,19.79,59744.0,-1837477090.0,97.51,1347.0,44.83,291.12,50610.0,27144.0,100600,6690.0,6730.0,6690.0,6650.0,18.54,95.22,56752.0,19731.0,0.0,-1.99,0.0,-1.99
나우IB,1246,202504111007,202504111029,22,1380,1313,999120,948621,-5.05,-50499,-648347,    elif 수익률 <= -5.0:,,1380.0,9.26,13058.0,-31995477450.0,106.3,1310.0,10.37,2002.98,62100.0,81648.0,100700,1343.0,1380.0,1343.0,1313.0,3.96,84.39,75839.0,22725.0,1.53,-5.05,1.53,-5.05
HJ중공업,6662,202504111007,202504111011,4,8170,7990,996740,972746,-2.41,-23994,-672341,"elif 시가대비등락율 < 0 and 수익률 <= -2.0 and 현재가 < 최저현재가(30, 보유시간):",,8170.0,18.75,60262.0,50051413755.0,116.93,6804.0,9.03,938.49,17345.0,23271.0,100700,8110.0,8180.0,8090.0,8000.0,16.28,114.02,32146.0,7673.0,0.0,-2.29,0.0,-2.29
자연과환경,1107,202504111008,202504111307,179,1028,976,1000244,947649,-5.26,-52595,-724936,    elif 수익률 <= -5.0:,,1027.0,9.84,35245.0,-41737062610.0,119.32,1165.0,30.87,84.81,222569.0,287403.0,100800,1022.0,1031.0,1020.0,976.0,4.39,91.59,276771.0,130641.0,3.19,-5.26,3.19,-5.26
제일약품,1985,202504111009,202504111022,13,13780,13500,992160,969971,-2.24,-22189,-747125,"elif 보유시간 > 10 and 현재가 < 최저현재가(30, 보유시간):",,13750.0,13.45,14574.0,13181288625.0,105.9,2022.0,7.27,1927.16,3618.0,2108.0,100900,13670.0,13790.0,13620.0,13500.0,11.39,102.66,3874.0,1504.0,0.0,-2.24,0.0,-2.24
린드먼아시아,887,202504111010,202504111013,3,6860,6460,994700,934734,-6.03,-59966,-807091,    elif 수익률 <= -5.0:,,6860.0,12.46,14899.0,-3960722425.0,85.64,939.0,16.42,3399.27,13489.0,9692.0,101000,6660.0,6870.0,6630.0,6480.0,6.23,79.94,22718.0,7462.0,0.0,-5.74,0.0,-5.74
HJ중공업,6820,202504111012,202504111518,306,8000,8170,1000000,1019112,1.91,19112,-787979,전략종료청산,,7990.0,16.13,61803.0,51592251060.0,114.03,6654.0,9.26,947.52,55542.0,16588.0,101200,7990.0,8010.0,7980.0,8190.0,19.04,110.28,21427.0,68008.0,4.16,-0.33,4.16,-0.33
일승,1377,202504111012,202504111033,21,4505,4465,1000110,989156,-1.1,-10954,-798933,"elif 보유시간 > 10 and 현재가 < 최저현재가(30, 보유시간):",,4500.0,11.66,32023.0,29394141486.0,93.17,1383.0,22.55,3171.24,42631.0,16940.0,101200,4485.0,4510.0,4485.0,4480.0,11.17,90.73,35612.0,8262.0,0.12,-0.98,0.12,-0.98
바이오플러스,4805,202504111012,202504111518,306,7870,7990,999490,1012614,1.31,13124,-785809,전략종료청산,,7860.0,9.93,12761.0,9030994625.0,195.93,4726.0,2.76,891.18,16414.0,35380.0,101200,7840.0,7880.0,7830.0,7990.0,11.75,162.1,18484.0,75734.0,1.44,-0.97,1.44,-0.97
이스트소프트,2522,202504111015,202504111020,5,22150,21700,996750,974463,-2.24,-22287,-808096,"elif 시가대비등락율 < 0 and 수익률 <= -2.0 and 현재가 < 최저현재가(30, 보유시간):",,22100.0,9.68,35712.0,27749644725.0,105.66,2568.0,13.72,911.4,22455.0,7351.0,101500,21950.0,22200.0,21950.0,21700.0,7.69,102.08,22778.0,11105.0,0.0,-2.24,0.0,-2.24
시공테크,1317,202504111021,202504111025,4,6710,6561,999790,975550,-2.42,-24240,-832336,"elif 시가대비등락율 < 0 and 수익률 <= -2.0 and 현재가 < 최저현재가(30, 보유시간):",,6700.0,19.43,62454.0,873443940.0,95.13,1343.0,46.87,302.79,14460.0,55262.0,102100,6610.0,6710.0,6600.0,6570.0,17.11,94.15,67181.0,6167.0,0.0,-2.29,0.0,-2.29
넥스틸,3879,202504111027,202504111208,101,15690,14910,988470,937360,-5.17,-51110,-883446,    elif 수익률 <= -5.0:,,15670.0,4.61,25406.0,-54117016900.0,95.83,4075.0,6.53,59.55,22087.0,17645.0,102700,15430.0,15700.0,15400.0,14920.0,-0.4,78.28,9823.0,7075.0,0.0,-5.11,0.0,-5.11
온코닉테라퓨틱스,2535,202504111029,202504111045,16,23550,23300,989100,976559,-1.27,-12541,-895987,"elif 보유시간 > 10 and 현재가 < 최저현재가(30, 보유시간):",,23500.0,11.64,48934.0,35348468550.0,93.87,2557.0,19.0,779.89,26197.0,11972.0,102900,23350.0,23550.0,23350.0,23300.0,10.69,92.1,32404.0,10749.0,0.22,-1.27,0.22,-1.27
미트박스,756,202504111031,202504111042,11,13675,13530,998275,985633,-1.27,-12642,-908629,"elif 보유시간 > 10 and 현재가 < 최저현재가(30, 보유시간):",,13650.0,5.41,26650.0,22418527250.0,86.7,763.0,34.52,1218.28,12561.0,1295.0,103100,13610.0,13680.0,13600.0,13530.0,4.48,84.17,9721.0,1244.0,0.0,-1.49,0.0,-1.49
일승,1363,202504111036,202504111222,106,4490,4435,996780,982518,-1.43,-14262,-922891,"elif 보유시간 > 10 and 현재가 < 최저현재가(30, 보유시간):",,4490.0,11.41,33475.0,30846177270.0,90.21,1380.0,23.61,3169.84,10095.0,22848.0,103600,4465.0,4495.0,4465.0,4435.0,10.05,86.72,51104.0,5057.0,1.35,-1.43,1.35,-1.43
시공테크,1303,202504111036,202504111044,8,6680,6500,995320,966477,-2.9,-28843,-951734,"elif 시가대비등락율 < 0 and 수익률 <= -2.0 and 현재가 < 최저현재가(30, 보유시간):",,6680.0,19.07,64787.0,3205675960.0,93.67,1339.0,48.63,313.23,21978.0,26520.0,103600,6640.0,6690.0,6640.0,6500.0,15.86,91.5,36312.0,6183.0,0.0,-2.9,0.0,-2.9
에코바이오,671,202504111046,202504111054,8,4555,4780,997545,1044646,4.72,47101,-904633,    elif 최고수익률 > 7 and 최고수익률 * 0.7 >= 수익률:,,4555.0,8.32,16931.0,4139616733.0,74.03,638.0,26.8,6325.7,4351.0,25746.0,104600,4445.0,4570.0,4415.0,4790.0,13.91,93.64,22097.0,17742.0,8.88,0.0,8.88,0.0
동방메디컬,2149,202504111047,202504111235,108,10840,10430,997280,957553,-3.98,-39727,-944360,"elif 보유시간 > 10 and 현재가 < 최저현재가(30, 보유시간):",,10840.0,9.38,16378.0,7987453745.0,126.71,2232.0,7.6,391.23,2688.0,19896.0,104700,10690.0,10850.0,10670.0,10440.0,5.35,103.39,15453.0,3671.0,0.0,-3.89,0.0,-3.89
그린케미칼,1894,202504111048,202504111321,153,8280,7890,993600,944816,-4.91,-48784,-993144,"elif 보유시간 > 10 and 현재가 < 최저현재가(30, 보유시간):",,8280.0,9.81,16462.0,-22257412945.0,81.71,1987.0,8.37,2135.33,11163.0,35435.0,104800,8170.0,8310.0,8170.0,7890.0,4.64,75.83,13564.0,6085.0,0.51,-4.91,0.51,-4.91
이스트소프트,2499,202504111049,202504111146,57,22100,21500,994500,965479,-2.92,-29021,-1022165,"elif 보유시간 > 10 and 현재가 < 최저현재가(30, 보유시간):",,22100.0,9.68,39020.0,31057129725.0,100.86,2568.0,15.02,852.57,60378.0,21982.0,104900,22050.0,22100.0,22000.0,21500.0,6.7,97.85,20704.0,10761.0,0.0,-2.92,0.0,-2.92
에코바이오,674,202504111055,202504111135,40,4865,4805,997325,982972,-1.44,-14353,-1036518,"        if 5 < 최고수익률 and 현재가N(1) >= 이동평균(60, 1) and 이동평균(60) > 현재가:",,4865.0,15.7,30626.0,17834744453.0,94.38,682.0,46.87,9057.58,9502.0,25878.0,105500,4780.0,4890.0,4755.0,4810.0,14.39,87.83,50607.0,9346.0,5.84,-1.34,5.84,-1.34
온코닉테라퓨틱스,2601,202504111100,202504111509,249,23500,23900,987000,1001704,1.49,14704,-1021814,"        if 5 < 최고수익률 and 현재가N(1) >= 이동평균(60, 1) and 이동평균(60) > 현재가:",,23500.0,11.64,53048.0,39462064050.0,91.38,2557.0,20.62,690.1,24327.0,14845.0,110000,23400.0,23500.0,23400.0,23900.0,13.54,93.09,25784.0,9221.0,5.74,-0.85,5.74,-0.85
미트박스,748,202504111100,202504111440,220,13670,13380,997910,974702,-2.33,-23208,-1045022,"elif 보유시간 > 10 and 현재가 < 최저현재가(30, 보유시간):",,13660.0,5.48,27942.0,23710192575.0,83.17,763.0,36.22,1170.32,4345.0,4780.0,110000,13590.0,13660.0,13590.0,13380.0,3.32,78.16,6374.0,9791.0,1.62,-2.33,1.62,-2.33
린드먼아시아,863,202504111112,202504111113,1,6990,6300,999570,899009,-10.06,-100561,-1145583,"elif 시가대비등락율 < 0 and 수익률 <= -2.0 and 현재가 < 최저현재가(30, 보유시간):",,6990.0,14.59,23345.0,4485850400.0,86.26,957.0,25.78,335.76,4973.0,22928.0,111200,6570.0,7090.0,6550.0,6300.0,3.28,83.26,22562.0,8480.0,0.0,-10.06,0.0,-10.06
카티스,764,202504111117,202504111218,61,4235,4000,999460,942021,-5.75,-57439,-1203022,    elif 수익률 <= -5.0:,,4235.0,19.46,49867.0,49037689097.0,42.91,809.0,59.87,6086.4,10816.0,17479.0,111700,4105.0,4265.0,4100.0,4000.0,12.83,46.32,18867.0,7575.0,2.5,-5.75,2.5,-5.75
핑거,1112,202504111118,202504111128,10,12730,11870,992940,923924,-6.95,-69016,-1272038,    elif 수익률 <= -5.0:,,12710.0,9.76,22243.0,7297085685.0,122.35,1190.0,19.47,206.75,6794.0,16842.0,111800,12620.0,12800.0,12450.0,11870.0,2.5,94.94,16990.0,5391.0,0.0,-6.95,0.0,-6.95
실리콘투,19024,202504111139,202504111518,219,31350,31050,971850,960538,-1.16,-11312,-1283350,전략종료청산,,31300.0,6.1,21692.0,-35328809425.0,164.93,19147.0,1.17,52.23,11034.0,26004.0,113900,31150.0,31550.0,31050.0,31100.0,5.42,158.47,27159.0,47075.0,0.0,-1.96,0.0,-1.96
쓰리빌리언,1954,202504111143,202504111221,38,6220,6160,1001420,989685,-1.17,-11735,-1295085,"elif 보유시간 > 10 and 현재가 < 최저현재가(30, 보유시간):",,6210.0,4.9,21606.0,14668205040.0,97.3,1970.0,10.87,769.41,40728.0,37370.0,114300,6180.0,6220.0,6170.0,6160.0,4.05,95.95,48031.0,22267.0,0.0,-1.17,0.0,-1.17
에코바이오,662,202504111146,202504111203,17,4845,4725,998070,971318,-2.68,-26752,-1321837,"elif 보유시간 > 10 and 현재가 < 최저현재가(30, 보유시간):",,4845.0,15.22,52041.0,39250471198.0,86.99,679.0,77.43,375.93,6948.0,20451.0,114600,4795.0,4875.0,4795.0,4725.0,12.37,85.5,49447.0,7414.0,0.1,-2.68,0.1,-2.68
시공테크,1461,202504111157,202504111324,87,6660,7272,999000,1088537,8.96,89537,-1232300,if 등락율 > 29.5:,,6660.0,18.72,73819.0,12238033595.0,90.16,1335.0,55.47,201.42,27195.0,34021.0,115700,6610.0,6660.0,6600.0,7290.0,29.95,98.14,35912.0,236718.0,9.23,-0.96,9.23,-0.96
